,index,sm,smmax,dataset,directory,cell_id,channel
209,53,0,0.99992776,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2694,1
210,54,4,0.96885663,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2718,1
211,55,4,0.9915447,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2729,1
212,56,5,0.90651196,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2900,1
213,57,0,0.97269666,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3046,1
214,58,4,0.915923,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3100,1
215,59,5,0.39581668,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3175,1
216,60,6,0.8333253,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3181,1
217,61,0,0.99657637,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3210,1
218,62,4,0.69414073,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3225,1
219,63,4,0.499506,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3268,1
220,64,4,0.41097322,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3347,1
221,65,0,0.99930227,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3603,1
222,66,4,0.8520642,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3723,1
223,67,5,0.75832045,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3781,1
224,68,0,0.9876194,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3794,1
225,69,0,0.6074947,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,3846,1
226,70,0,0.9973736,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4004,1
227,71,5,0.58905345,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4010,1
228,72,0,0.99947363,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4026,1
229,73,0,0.9363543,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4113,1
230,74,5,0.9944299,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4284,1
231,75,0,0.9989814,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4350,1
232,76,5,0.62016684,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4395,1
233,77,4,0.99631906,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4404,1
234,78,0,0.86866397,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4419,1
235,79,0,0.9987043,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4646,1
236,80,4,0.6939826,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4661,1
237,81,4,0.83227897,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4681,1
238,82,0,0.75466734,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4724,1
239,83,0,0.99995553,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4738,1
240,84,4,0.98731494,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,4782,1
241,85,0,0.5785705,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5007,1
242,86,0,0.7133676,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5025,1
243,87,5,0.61222625,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5038,1
244,88,4,0.98596233,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5185,1
245,89,4,0.61095446,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5215,1
246,90,5,0.4490707,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5396,1
247,91,5,0.7848676,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5411,1
248,92,0,0.999808,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5488,1
249,93,0,0.8216407,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5537,1
250,94,0,0.34639502,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5590,1
251,95,4,0.49388772,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5608,1
252,96,0,0.9993656,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5630,1
253,97,0,0.99813133,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5676,1
254,98,6,0.5761497,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5774,1
255,99,6,0.7328728,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5905,1
256,100,0,0.98556155,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5949,1
257,101,4,0.9847632,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,5962,1
258,102,4,0.582739,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6011,1
259,103,4,0.5550677,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6016,1
260,104,0,0.96757185,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6055,1
261,105,0,0.8783673,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6095,1
262,106,4,0.74079543,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6144,1
263,107,5,0.74236065,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6218,1
264,108,4,0.5135995,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6317,1
265,109,0,0.65627855,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6329,1
