,dataset,probability,cluster,count
447,FSS 72h c,0.6000000238418579,0,662
448,FSS 72h c,0.6000000238418579,1,673
449,FSS 72h c,0.6000000238418579,2,698
450,FSS 72h c,0.6000000238418579,3,771
451,FSS 72h c,0.6000000238418579,4,885
452,FSS 72h c,0.6000000238418579,5,954
453,FSS 72h c,0.6000000238418579,6,1049
502,FSS 72h d,0.6000000238418579,0,985
503,FSS 72h d,0.6000000238418579,1,993
504,FSS 72h d,0.6000000238418579,2,1016
505,FSS 72h d,0.6000000238418579,3,1082
506,FSS 72h d,0.6000000238418579,4,1223
507,FSS 72h d,0.6000000238418579,5,1375
508,FSS 72h d,0.6000000238418579,6,1525
558,FSS 72h e,0.6000000238418579,0,878
559,FSS 72h e,0.6000000238418579,1,884
560,FSS 72h e,0.6000000238418579,2,891
561,FSS 72h e,0.6000000238418579,3,954
562,FSS 72h e,0.6000000238418579,4,1141
563,FSS 72h e,0.6000000238418579,5,1338
564,FSS 72h e,0.6000000238418579,6,1521
609,FSS 72h f,0.6000000238418579,0,298
610,FSS 72h f,0.6000000238418579,1,305
611,FSS 72h f,0.6000000238418579,2,313
612,FSS 72h f,0.6000000238418579,3,341
613,FSS 72h f,0.6000000238418579,4,398
614,FSS 72h f,0.6000000238418579,5,440
615,FSS 72h f,0.6000000238418579,6,500
662,LPS 24h a,0.6000000238418579,0,858
663,LPS 24h a,0.6000000238418579,1,868
664,LPS 24h a,0.6000000238418579,2,890
665,LPS 24h a,0.6000000238418579,3,927
666,LPS 24h a,0.6000000238418579,4,1169
667,LPS 24h a,0.6000000238418579,5,1385
668,LPS 24h a,0.6000000238418579,6,1585
716,LPS 24h b,0.6000000238418579,0,746
717,LPS 24h b,0.6000000238418579,1,748
718,LPS 24h b,0.6000000238418579,2,751
719,LPS 24h b,0.6000000238418579,3,785
720,LPS 24h b,0.6000000238418579,4,975
721,LPS 24h b,0.6000000238418579,5,1100
722,LPS 24h b,0.6000000238418579,6,1212
768,LPS 24h c,0.6000000238418579,0,831
769,LPS 24h c,0.6000000238418579,1,835
770,LPS 24h c,0.6000000238418579,2,843
771,LPS 24h c,0.6000000238418579,3,882
772,LPS 24h c,0.6000000238418579,4,1110
773,LPS 24h c,0.6000000238418579,5,1259
774,LPS 24h c,0.6000000238418579,6,1419
823,LPS 24h d,0.6000000238418579,0,887
824,LPS 24h d,0.6000000238418579,1,893
825,LPS 24h d,0.6000000238418579,2,905
826,LPS 24h d,0.6000000238418579,3,952
827,LPS 24h d,0.6000000238418579,4,1126
828,LPS 24h d,0.6000000238418579,5,1309
829,LPS 24h d,0.6000000238418579,6,1504
877,LPS 24h e,0.6000000238418579,0,937
878,LPS 24h e,0.6000000238418579,1,938
879,LPS 24h e,0.6000000238418579,2,949
880,LPS 24h e,0.6000000238418579,3,987
881,LPS 24h e,0.6000000238418579,4,1215
882,LPS 24h e,0.6000000238418579,5,1423
883,LPS 24h e,0.6000000238418579,6,1587
930,LPS 24h f,0.6000000238418579,0,843
931,LPS 24h f,0.6000000238418579,1,849
932,LPS 24h f,0.6000000238418579,2,864
933,LPS 24h f,0.6000000238418579,3,925
934,LPS 24h f,0.6000000238418579,4,1077
935,LPS 24h f,0.6000000238418579,5,1199
936,LPS 24h f,0.6000000238418579,6,1377
983,LPS 72h a,0.6000000238418579,0,835
984,LPS 72h a,0.6000000238418579,1,840
985,LPS 72h a,0.6000000238418579,2,851
986,LPS 72h a,0.6000000238418579,3,893
987,LPS 72h a,0.6000000238418579,4,1119
988,LPS 72h a,0.6000000238418579,5,1286
989,LPS 72h a,0.6000000238418579,6,1482
1038,LPS 72h b,0.6000000238418579,0,798
1039,LPS 72h b,0.6000000238418579,1,805
1040,LPS 72h b,0.6000000238418579,2,811
1041,LPS 72h b,0.6000000238418579,3,867
1042,LPS 72h b,0.6000000238418579,4,1052
1043,LPS 72h b,0.6000000238418579,5,1176
1044,LPS 72h b,0.6000000238418579,6,1318
1094,LPS 72h c,0.6000000238418579,0,862
1095,LPS 72h c,0.6000000238418579,1,868
1096,LPS 72h c,0.6000000238418579,2,878
1097,LPS 72h c,0.6000000238418579,3,914
1098,LPS 72h c,0.6000000238418579,4,1090
1099,LPS 72h c,0.6000000238418579,5,1222
1100,LPS 72h c,0.6000000238418579,6,1353
1147,LPS 72h d,0.6000000238418579,0,973
1148,LPS 72h d,0.6000000238418579,1,977
1149,LPS 72h d,0.6000000238418579,2,988
1150,LPS 72h d,0.6000000238418579,3,1057
1151,LPS 72h d,0.6000000238418579,4,1267
1152,LPS 72h d,0.6000000238418579,5,1417
1153,LPS 72h d,0.6000000238418579,6,1584
1202,LPS 72h e,0.6000000238418579,0,911
1203,LPS 72h e,0.6000000238418579,1,918
1204,LPS 72h e,0.6000000238418579,2,928
1205,LPS 72h e,0.6000000238418579,3,979
1206,LPS 72h e,0.6000000238418579,4,1165
1207,LPS 72h e,0.6000000238418579,5,1391
1208,LPS 72h e,0.6000000238418579,6,1580
1256,LPS 72h f,0.6000000238418579,0,794
1257,LPS 72h f,0.6000000238418579,1,795
1258,LPS 72h f,0.6000000238418579,2,805
1259,LPS 72h f,0.6000000238418579,3,848
1260,LPS 72h f,0.6000000238418579,4,1017
1261,LPS 72h f,0.6000000238418579,5,1161
1262,LPS 72h f,0.6000000238418579,6,1323
26,FSS 24h a,0.699999988079071,0,1314
27,FSS 24h a,0.699999988079071,1,1319
28,FSS 24h a,0.699999988079071,2,1325
29,FSS 24h a,0.699999988079071,3,1366
30,FSS 24h a,0.699999988079071,4,1532
31,FSS 24h a,0.699999988079071,5,1609
32,FSS 24h a,0.699999988079071,6,1717
78,FSS 24h b,0.699999988079071,0,1478
